Reports,TTP,Actor
" FireEye iSIGHT Intelligence assesses with moderate confidence that on May 14, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) leaked correspondence and documents belonging to Swedish Sports Confederation (Riksidrottsf rbundet) officials. We assess with moderate confidence that the leaked material is authentic; however, it is possible that FBHT could have altered or fabricated material, as it has previously done. We reiterate our assessment that FBHT's continued targeting of sports bodies and anti-doping efforts reflects an ongoing effort on the part of the Russian Government to discredit the investigations into Russian state-sponsored doping and to exacerbate divisions between Western countries and between sporting organizations. ",['Doxing'],APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on April 27, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) leaked emails belonging to Swedish Sports Confederation (Riksidrottsf rbundet) officials. We assess with moderate confidence that the leaked emails are legitimate, although it is possible that FBHT could have altered or fabricated material, as it has previously done. We reiterate our belief that FBHT's continued targeting of sporting bodies and anti-doping efforts reflects an ongoing effort on the part of the Russian Government to cast doubts around the validity of investigations into Russian state-sponsored doping and to exacerbate division between Western countries and between sporting organizations. ",['Doxing'],APT28
" On Sept. 22, 2016, the site DC Leaks posted emails purportedly taken from the personal email account of a White House staffer that contained, among other information, schedules pertaining to trips involving Michelle Obama and Joe Biden, and a scan of the First Lady s passport. FireEye iSIGHT Intelligence assesses with moderate confidence that this activity is a continuation of an ongoing information campaign with links to Russian espionage operator Tsar Team (APT28) revolving around the U.S. presidential election. ",['Doxing'],APT28
" We believe that the actor currently using the name ""CyberCaliphate"" is a member of the low-sophistication group Islamic Cyber Army (ICA) and is not connected to the Russian group that previously operated using that name. ",['No ttp provided'],APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on Feb. 7, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) leaked documents from the Canadian nonprofit Own the Podium (OTP) and correspondence from the Canadian Olympic Committee (COC). We assess with moderate confidence that the leaked material is legitimate and contains genuine, sensitive data, although it is possible that the leak also includes material that has been altered or falsified, as the group has previously done. We believe that FBHT's continued leaks of material from various sporting bodies reflects an ongoing effort on the part of the Russian Government to cast doubts around the validity of investigations on Russian state-sponsored athlete doping and to exacerbate divisions between various Western countries and sporting organizations. ",['Doxing'],APT28
" On May 23, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) posted two tweets regarding international anti-doping efforts. The first tweet concerned an English-language article published by the German media outlet Der Spiegel describing an internal report, leaked to the outlet by FBHT, from the World Anti-Doping Agency (WADA) regarding the suspension of a sports doping laboratory in Romania. The second tweet displayed a screenshot of a letter purportedly from the father of a German Olympic rower regarding concerns about alleged doping scandals, including discussion of FBHT's 2016 WADA leaks. FireEye iSIGHT Intelligence is unable to confirm the veracity of the documents; however, the leaks are consistent with efforts by FBHT to discredit international anti-doping efforts and to exacerbate divisions between sporting bodies and Western countries. ",['Doxing'],APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on Jan. 10, 2018, Fancy Bears' Hack Team (FBHT) leaked correspondence belonging to International Olympic Committee (IOC) officials. There are limited indications that suggest the leaked IOC material stems from the compromise of IOC Medical Director Dr. Richard Budgett, whose email address is listed on all of the leaked emails. While the leaked materials appear legitimate, it is possible that the leak also includes material that has been altered or falsified. We suggest that continued targeting of international sports bodies by FBHT, which we have previously assessed to be a false hacktivist persona leveraged by Russian state-sponsored actors, reflects continued interest on the part of the Russian Government in shifting narratives regarding doping by Russian athletes. ",['Doxing'],APT28
" CyberBerkut claimed to leak emails that reveal a U.S. Government conspiracy involving the testing of biological weapons in Ukraine. The emails contain four phishing lures with malicious links pointing to an IP address with ties to the Russian group APT28. While FireEye iSIGHT Intelligence judges that CyberBerkut leaked genuine emails from the personal account of the head of The International HIV/AIDS and TB Institute, CyberBerkut provided no evidence to support its conspiracy theory. We assess with high confidence that CyberBerkut's aim is to demonstrate alleged U.S. interference in Ukraine and undermine public confidence in the Ukrainian Government. ","['Doxing', 'Communications']",APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on March 13, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) leaked correspondence and attached documents from the Canadian Olympic Committee (COC). We assess with moderate confidence that the leaked material is legitimate and contains genuine, sensitive data, although it is possible that FBHT could have included altered or fabricated documents, as it has previously done. We reiterate our belief that FBHT's continued leaks of material from various sporting bodies reflect the Russian Government's ongoing effort to deflect and undermine the validity of investigations on Russian state-sponsored athlete doping and to exacerbate divisions between sporting organizations and Western countries. ",['Doxing'],APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on Jan. 31, 2018, the Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) leaked correspondence belonging to Canadian Olympic Committee (COC) officials. We believe that FBHT's leak of COC material is intended to further raise questions and doubts around the validity of investigations regarding Russian state-sponsored athlete doping and to exacerbate divisions both among sporting organizations and Western countries. We anticipate that the group will continue to target international sports bodies to further its objectives. ",['Doxing'],APT28
" On Jan. 24, 2018, Fancy Bears' Hack Team (FBHT), which we judge is a false hacktivist persona leveraged by Russian state-sponsored actors, claimed to leak correspondence belonging to the International Luge Federation (FIL). FireEye iSIGHT Intelligence assesses with moderate confidence that the material is genuine and stolen from the FIL. We believe that FBHT's continued targeting of international sports bodies and promotion of narratives surrounding anti-doping efforts reflects an ongoing effort on the part of the Russian Government to cast doubt on the validity of investigations around Russian state-sponsored athlete doping, and to sow division between various Western countries. ",['Doxing'],APT28
" FireEye iSIGHT Intelligence assesses that the leak of Democratic National Committee (DNC) documents by the actor ""Guccifer 2.0"" is most likely part of a Russian disinformation campaign in reaction to CrowdStrike's public attribution of the DNC breach to Russian espionage actors. ",['No ttp provided'],APT28
" FireEye iSIGHT Intelligence has identified six false hacktivist personas adopted in 2016 that we believe Russian state-sponsored actors are leveraging to support Russian interests: Bozkurt Hackers, DC Leaks, Guccifer 2.0, @pravsector, @anpoland, and Fancy Bears' Hack Team. Examining these together highlights common persona creation and data leak dissemination tactics that demonstrate a nuanced understanding of the target audiences for this influence activity. These tactics include the appropriation of pre-existing hacktivist or political brands, direct and indirect advocacy of threat activity to amplify dissemination, and the strategic use of falsehoods to generate attention. ","['Doxing', 'Defacement', 'Distributed Denial-of-Service (DDoS) Attack']",APT28
" On Sept. 12, 2016, Fancy Bears Hack Team leaked confidential medical information belonging to four high-profile U.S. female athletes from the World Anti-Doping Agency (WADA). We believe with moderate confidence that the WADA data leak claimed by Fancy Bears Hack Team is a continuation of the activity publicized by @anpoland, and that the actor(s) operating these two personas are either the same or associated with each other. We doubt that Fancy Bears Hack Team represents Anonymous-affiliated hacktivists; rather, we believe that the data leaks and statements posted by this group are consistent with Russian national interests. ",['No ttp provided'],APT28
" FireEye iSIGHT Intelligence believes that an influence campaign comparable to those seen targeting recent elections in the U.S. and Europe is of low to moderate likelihood ahead of the June 8, 2017, UK general election, based on notable differences in the political landscape and on comparatively lower volumes of observed activity thus far. However, some recent, limited incidents of relevant activity, including phishing attacks targeting British Members of Parliament (MPs); the recurring promotion of fear, uncertainty, and doubt (FUD) and divisive narratives by suspected ""troll"" accounts, may be precursors to influence operations surrounding the UK election. ","['Doxing', 'Communications']",APT28
No report found.,"['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Hosting', 'Defacement', 'Communications', 'Distributed Denial-of-Service (DDoS) Attack', 'Domain Registration/DNS Abuse and Manipulation']",APT28
" FireEye iSIGHT Intelligence has observed social media accounts, including some that previously promoted threat activity targeting the 2016 U.S. presidential election, currently attempting to influence upcoming Dutch, German, and French elections with narratives that favor Russian political interests. We assess that WikiLeaks will highly likely be a prominent outlet for influence activity surrounding these elections. We judge that the volume of influence activity will increase as respective election days approach. ","['Communications', 'Enabling Infrastructures']",APT28
" FireEye iSIGHT Intelligence assesses with moderate confidence that on July 5, 2017, Fancy Bears' Hack Team (FBHT) leaked genuine, sensitive information stolen from the International Association of Athletics Federations (IAAF) and the World Anti-Doping Agency (WADA). We surmise that continued FBHT and APT28 activities targeting international sporting bodies indicates that addressing negative public perceptions about Russian athletics remains a priority of the Russian Government. ","['Social Engineering', 'Doxing']",APT28
" Several Advanced Persistent Threat (APT) groups have a history of targeting places of worship, prominent religious leaders, and affiliated institutions for cyber espionage and are likely to ramp up those efforts over the next few years. ",['No ttp provided'],APT28
" On Oct. 12, the Security Service of Ukraine (SBU) released a statement warning that hackers are preparing to launch a massive new cyber attack against Ukrainian Government institutions and private companies. FireEye iSIGHT Intelligence has identified potential indicators of warning, including some related to recent Sandworm Team and APT28 (Tsar Team) activity. Ukrainian entities are recommended to take additional security measures to protect their networks for the upcoming days, and organizations outside of Ukraine should assess their exposure to risks emerging from Ukraine, especially destructive attacks. FireEye iSIGHT Intelligence will provide an update as soon as we receive and analyze new information. ",['No ttp provided'],APT28
" FireEye iSIGHT Intelligence has not observed any specific threats to the 2018 World Economic Forum (WEF), a renowned conference held annually in Davos. However, historical activity, and the general risk associated with conference attendance, suggests that any potential attendees or other interested parties should consider the risks associated with travelling to the forum. We have seen espionage actors regularly target conferences and their attendees. The prominence of the World Economic Forum, and many of its attendees, will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. The conference also represents an intersection between a variety of themes that have triggered hacktivist activity by politically motivated actors in the past. These include opposition to finance, governments, and ""elites."" ","['Social Engineering', 'Doxing', 'Defacement', 'Man-in-the-middle-attack', 'Distributed Denial-of-Service (DDoS) Attack']",APT28
" Changes in political leadership, particularly following contentious elections, often lead to increased espionage activity targeting new administrations. There are several plausible sets of activity from espionage actors associated with U.S. rivals targeting U.S. Government and corporate organizations. Russian actors may be emboldened by the success of their information operations during the election and increase their targeting of the U.S., before and after the new administration takes power. Chinese responses to possible U.S. trade protectionism could lead to increased targeting of U.S. trade organizations and policy makers, and it is plausible that the early days of the new administration will see increased targeting of companies for intellectual property theft as China tests the limits of the new administration's willingness to respond to this activity. Iranian concerns over the future of the Iran-U.S. nuclear agreement could be a driver for espionage targeting policy makers. Should the agreement be nullified, Iranian espionage groups could potentially retaliate with various types of attacks. North Korean activity as a means of testing limits are plausible, but may be delayed until it becomes clear whether overtures during the presidential campaign regarding potential political meetings come to fruition. If campaign rhetoric advocating South Korean nuclear development continues under the new administration, North Korean actors may target U.S. and South Korean organizations and individuals. ",['No ttp provided'],APT28
" The release on Friday of more than 20,000 emails obtained from the servers of the Democratic National Committee (DNC) has, as the New York Times reports today , reinvigorated public discussion about the possibility that the Russian intelligence services are conducting cyber espionage and timing the release of embarrassing documents to deliberately tip the scales of the U.S. Presidential election against Hillary Clinton and in favor of Donald Trump. ",['No ttp provided'],APT28
" The following report is based on a response to a query submitted by a customer via our Analyst Access service. FireEye Threat Intelligence assesses with low confidence that state-on-state compromise is uncommon and is discussed publicly with even less frequency. We believe that a successful compromise of adversary-controlled assets could provide valuable insight into an adversary's behavior and tools, which might facilitate future offensive and defensive efforts. It is possible that evolving cyber norms , including policy changes, leaks exposing nation-state operations, and the influence of private cyber security and malware vendors, will increase the frequency of state-on-state compromise attempts and the frequency with which this type of operation becomes public knowledge. FireEye Threat Intelligence surmises that the primary way in which state-on-state compromise might impact most network defenders would be in impeding attribution with false flag operations or other denial and deception tactics. Acknowledging the possibility that attackers may have used deceptive tactics, precision, and attention to detail in investigations are important first steps in identifying the deliberate use of misleading indicators. ",['Malware Propagation and Deployment'],APT28
" This report was originally published on the FireEye Intelligence Center portal on Jan. 17, 2015 ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on Aug. 17, 2015 ",['No ttp provided'],APT28
" FireEye iSIGHT Intelligence uncovered multiple CHOPSTICK samples likely used to target European entities in December 2017. CHOPSTICK is a second stage backdoor used exclusively by APT28 (Tsar), which may indicate the entities were successfully compromised. The campaign coincides with elections and ongoing geopolitical issues of high interest to Russia. ",['Malware Propagation and Deployment'],APT28
" Mandiant Threat Intelligence is monitoring the escalating tension between Ukraine and Russia and looking for reflections of increased cyber threat activity from Russian state-sponsored actors as a result. Sandworm probably poses the greatest and most likely threat to Ukraine, based on its historical cyber attacks on Ukraine and its apparent mandate for disruptive and destructive operations. Sandworm is sponsored by Russian military intelligence and would almost certainly support Russian military operations in Ukraine in some capacity. We may also see an uptick in cyber espionage operations from APT28, also sponsored by Russian military intelligence, or TEMP.Armageddon and TEMP.Vermin actors whose previous targeting since inception is near exclusively against Ukrainian government targets. TEMP.Isotope has regularly targeted Ukrainian government and energy entities in the past, but it likely poses a lower threat than the previous groups in this current environment. ",['No ttp provided'],APT28
" Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. ","['Social Engineering', 'Malware Propagation and Deployment', 'Domain Registration_DNS Abuse and Manipulation', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise']",APT28
" During an investigation into a network intrusion, FireEye iSIGHT Intelligence identified evidence that the threat actors responsible had leveraged the compromised organization's Outlook Web Access (OWA) server to transfer proprietary information from the environment. ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on June 10, 2015 In early April 2015, a threat group claiming to be the ""Cyber Caliphate,"" purportedly affiliated with the Islamic State, shut down the computer systems of TV5Monde, a global media company based in France. We now believe that APT28 (who we have previously assessed is associated with the Russian Government) may, in fact, be the group behind this incident, based on some technical indicators and a broader understanding of how Russian psychological operations unfold. If this is the case, it opens a new chapter in APT28's activities, as Russia would be responsible for a successful information operation and attack against a media outlet that caused lasting physical damage to broadcasting equipment and took a media outlet offline. ",['No ttp provided'],APT28
" Mandiant Threat Intelligence assesses with high confidence that the upcoming Zapad-2021 military exercise will drive additional cyber espionage leading up to and during the event from multiple countries seeking insight into capabilities and intentions of participants and reactions among neighboring countries. We expect defense and government organizations will be most heavily targeted. U.S. and North Atlantic Treaty Organization (NATO) military units should remain alert for the potential intensification of information operations during Zapad and other military exercises. Anti-NATO and anti-U.S. military narratives are common themes for several information operations campaigns we track, which target the Baltic states, Poland, and Ukraine. Despite ongoing and recently increased Chinese-Russian military cooperation, we expect both countries to continue cyber espionage against the other's defense and military targets for the foreseeable future. ","['Malware Propagation and Deployment', 'Network Reconnaissance']",APT28
" This report was originally published on the FireEye Intelligence Center portal on March 10, 2015 ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on July 1, 2015 ",['No ttp provided'],APT28
" Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. ",['Web Application Attacks'],APT28
" This report was originally published on the FireEye Intelligence Center portal on Dec. 3, 2015 ",['No ttp provided'],APT28
" One of the policy options to respond to recent suspected Russian cyber operations involves forcibly disconnecting Russia from the global internet. Even if it were feasible, this option would, on its own, likely be ineffective in stymieing Russian activity, largely due to the country's prior preparation for such an event and its demonstrated ability to use alternative telecommunications infrastructure to conduct cyber operations. ",['No ttp provided'],APT28
" APT28 engages in cyber operations where the goal is espionage, usually focused on discovering the military and political secrets of other nations. This group has targeted organizations headquartered in multiple countries, including those in the United States, Europe, the Middle East, and the Asia Pacific region. Based on available data, we assess that this is a Russia-based nation-state sponsored threat group. ",['No ttp provided'],APT28
" A purported assassination attempt and subsequent diplomatic row have added additional strain to the United Kingdom-Russian Federation relationship. We are observing the emergence of a possible disinformation campaign designed to discredit the ongoing investigation of the incident, although we have not conclusively attributed it to any known Russia-nexus groups or actors. We assess with moderate confidence any immediate retaliatory actions against the U.K. or its allies would likely be tasked to APT28. Russia will almost certainly continue to deflect, deny, and promote alternative theories regarding the purported assassination attempt, insisting that this is yet another part of the world s ""Russophobia."" ","['Malware Propagation and Deployment', 'Network Reconnaissance', 'Enabling Infrastructures', 'Pen Testing']",APT28
" The use of cyber tools to accomplish strategic security goals has spread in just a few years from being solely the domain of a few major technological powers to become such a common tool of statecraft that even many non-state groups, such as large terrorist organizations and organized crime families, can also muster state-like cyber efforts. ",['No ttp provided'],APT28
" A report claiming that the New York Times was breached by Russian intelligence services has been countered by the Times , which claims that targeting was limited to its Moscow office and no breaches have been discovered. Despite the apparent limitations of this particular campaign, the media sector as a whole should be concerned with the extensive precedent that exists for state sponsored threat groups intending to target media organizations. Compromise of trusted media organizations enables intelligence agencies to achieve a number of valuable objectives beyond information collection, such as influencing public opinion and exploiting trusted relationships as a stepping stone toward compromising other organizations. Organizations outside of the media sector should be aware of the stepping-stone effect facilitated by exploiting journalist trust and consider how their past shortcomings dealing with non-state threats could be exacerbated by a state-backed actor. ",['No ttp provided'],APT28
" Governments around the globe are likely to increase their use of information operations in cyberspace to advance their interests, including by targeting private companies. Companies face these new risks because they rely on the same digital infrastructure to conduct business that nation-state actors are targeting as part of hybrid warfare strategies that are bringing power politics to cyberspace. In the modern era, where conflict seldom has recognizable beginning and end points, the speed, deniability and demonstrated success of cyber operations means that government-sponsored operations and influence campaigns in cyberspace are more likely than ever to affect non-government entities, especially major corporations. ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on July 15, 2015. ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on Dec. 3, 2015. ",['No ttp provided'],APT28
" At FireEye iSIGHT Intelligence, we continually analyze the tools, tactics and procedures (TTPs) that make threat groups unique. By tracking both previous and emerging TTPs, we systematically learn more about a group's motivations and how they operate. While scrutinizing malicious documents associated with Russia-based Tsar Team (aka APT28), we identified an interesting TTP where the group appears to have generated several weaponized documents using at least three different builders that most likely originated with China-based APT groups. ",['No ttp provided'],APT28
" U.S. citizens rely on elections technology, from online voter registration to voting machines. Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation. In this report, FireEye iSIGHT Intelligence analysts examine 10 representative technological threat vectors that could lead to altered election results. ","['Web Application Attacks', 'Social Engineering', 'Hardware/Supply Chain Compromise', 'Distributed Denial-of-Service (DDoS) Attack', 'Insider Threat']",APT28
" FireEye Intelligence has observed increasing examples of destructive attacks from 2012 to 2018; these attacks can be categorized by type: physically destructive malware , wipers , modified ransomware , and other destructive attacks. FireEye Intelligence assesses with moderate confidence that the primary objectives of most state-nexus destructive cyber attacks include strategic and tactical objectives such as punishment, sabotage, coercion, testing, and signaling. We assess with moderate confidence that a subset of destructive attacks support comparatively limited tactical objectives, such as distracting investigators to facilitate other malicious activity, resource depletion, or destroying evidence to complicate investigations and attribution. ","['Malware Propagation and Deployment', 'Ransomware']",APT28
" Publicly visible computer network attack (CNA) events show that at least four nation-states (the United States, Iran, Russia, and North Korea) have developed and demonstrated CNA capabilities since 2009. While conducted for a variety of purposes, these events have increased in visibility and virulence. FireEye iSIGHT Intelligence expects that these four nations will continue to develop and apply their CNA capabilities and that victim nations will acquire the capability to respond in kind. ",['No ttp provided'],APT28
" Russia has a history of targeting the Baltic energy sector, and may increasingly seek to do so now that liquefied natural gas shipments from the United States (intended to displace Russian energy supplies and influence) have begun to arrive in Lithuania. A Lithuanian Government report indicates that Russian threat actors may have already gained access to critical infrastructure, consistent with open-source reporting alleging that Russian hackers had compromised the Baltic power grid and a petroleum distribution system. FireEye cannot independently confirm this report. Estonia, a neighbor of Lithuania and beneficiary of gas shipments from the United States, assesses in a government report that APT28 may have compromised its energy industry in 2016. ",['No ttp provided'],APT28
" FireEye Threat Intelligence assesses with moderate confidence that malware-laden removable storage media, such as USB devices, remains the primary method threat actors use to gain access to air-gapped systems. We assess with low confidence that financially motivated exploitation of air-gapped systems is rare based on limited evidence of financially motivated interest in air-gapped systems, particularly ""cold"" cryptocurrency wallets. FireEye Threat Intelligence suggests that removable devices are introduced to air-gapped environments by insiders, both witting and unwitting, or individuals who obtain unauthorized physical access to a system, such as visitors. Although researchers have demonstrated novel methodologies to exfiltrate data from air-gapped systems, FireEye has not observed these means used in the wild. ","['Social Engineering', 'Malware Propagation and Deployment', 'Hardware_Supply Chain Compromise', 'Malware Research and Development', 'Insider Threat']",APT28
" This report was originally published on the FireEye Intelligence Center portal on Sept. 16, 2015 ",['No ttp provided'],APT28
" This report was originally published on the FireEye Intelligence Center portal on June 22, 2015 ",['No ttp provided'],APT28
" The three primary Russian intelligence services the Federal Security Service (FSB), Foreign Intelligence Service (SVR), and the Main Intelligence Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU) have exhibited divergent organizational cultures that subsequently affect how their personnel carry out operations. Media and government attribution of specific clusters of activity to different Russian intelligence services can be leveraged as an analytic lens to draw parallels between the organizational cultures of alleged sponsors and the tradecraft of certain associated threat actors. This type of analysis offers potential insight into the possible future activities by Russia-nexus threat actors like Sandworm Team and TEMP.Isotope. ",['No ttp provided'],APT28
" Recent disclosures by Western governments have highlighted the use of close access technical operations in support of malicious, state-nexus cyber activities. A close access technical operation is the deployment of trained personnel to areas in proximity to target entities with the objective of facilitating the compromise of associated entities deemed nonviable for engagement via remote means. Due to their ability to bypass security measures aimed at countering remote access, close access technical operations pose pronounced consequences for entities in critical infrastructure sectors, necessitating incorporation of such risks into the network and physical security postures of entities operating industrial control systems. ","['Social Engineering', 'Hardware/Supply Chain Compromise', 'Enabling Infrastructures']",APT28
" The U.S. Department of Justice indicted seven individuals affiliated with the Main Intelligence Directorate of the General Staff of the Russian Armed Forces (GRU) deemed responsible for carrying out a variety of cyber espionage and influence operations. Cyber espionage targeting the Westinghouse Electric Corporation (WEC), an American nuclear power company, circa 2014 attributed to GRU Unit 26165 in the indictment corresponds to FireEye reporting on APT28 (Tsar). We assess that the exposure of historical APT28 activity targeting WEC is unlikely to affect the group's risk calculus in future campaigns directed against energy verticals. ","['Social Engineering', 'Domain Registration/DNS Abuse and Manipulation']",APT28
" The KRACK attack exploits WPA2, an industry standard for wireless encryption embedded in many manufacturers' products, including Android, Apple, Linux, Windows OpenBSD, Linksys, and MediaTek. Many manufacturers have already offered patches. Threat actors would probably need to be physically located close to the network they are attacking, limiting the threat to mature enterprise to highly targeted operations rather than widespread attacks of opportunity. Customers should keep using WPA2 until patches become available. You can mitigate attacks against access points and routers by disabling 802.11r (fast roaming) and disabling client functionality. ",['Man-in-the-middle-attack'],APT28
" Observed trends in average time between patch issuance and observed exploitation (""time to exploit"") emphasizes that malicious actors are able to exploit vulnerabilities in an extremely short time frame and demonstrates the importance of applying patches as quickly as is feasible. A majority (58 percent) of the vulnerabilities observed to be exploited Q1 2018 Q3 2019 were exploited before a patch was available and are considered to be zero-days. If outliers are excluded, the average time to exploit was around -3 days. Of incidents where vulnerabilities that were successfully exploited for the first time after a patch had been released, more than a quarter (28 percent) occurred within the first week; an additional 36 percent occurred within one month. We assess with high confidence that the availability of either proof-of-concept (PoC) or exploit code alone does not account for time to exploit or likelihood of attempted exploitation without taking into account other factors. We believe that publication of PoC or exploit code increases the potential number of malicious actors able to leverage the vulnerability and indicates a higher level of interest in the vulnerability. We recommend using this information to better prioritize patching schedules for an organization depending on known active threats. Additionally, prioritizing patches for products that are commonly impacted and that have been deployed in an organization's enterprise environment may help to mitigate the risk of a large portion of malicious activity. ",['Exploit Development'],APT28
" FireEye iSIGHT Intelligence frequently observes FIN and APT actors leveraging publicly disclosed vulnerabilities and swiftly incorporating them into their intrusion operations. In the examples highlighted in this report, a wide range of China-nexus APT groups have demonstrated interest in this tactic. Though data is limited, actor repurposing of vulnerabilities in some cases may indicate shared developer resources or even segmentation between groups with the same nation-state sponsor. Intelligence on actor use of vulnerabilities can assist prioritizing patching and assessing which groups may leverage CVEs upon release. ",['Exploit Development'],APT28
" The exploitation of zero-days has already matched the last peak in zero-day exploitation, which occurred in 2016. We surmise (based on this rate of exploitation and discovery) that this total may surpass the total for 2016 by the end of 2019. We assess with moderate confidence that zero-days are increasingly being used in targeted campaigns. As a result, the breadth of targeting, and thus the number of victims affected, has likely decreased. We noted a significant increase in the number of zero-days leveraged by groups that are suspected to be customers of private companies that supply offensive cyber capabilities. Additionally, we observed an increase in zero-days leveraged against targets in the Middle East, and/or by groups with suspected ties to this region. We have observed a remarkable decrease in exploitation of zero-days by Russia and China since 2017. This is a remarkable change, since groups attributed to these countries leveraged the highest number of zero-days in earlier years, especially during the period 2012 2015. We observed a significant decline in zero-days incorporated into exploit kits and used by financially motivated groups. Since the end of 2017, we have not observed any exploit kits that incorporated any vulnerabilities before a patch was issued. However, we have observed financially motivated actors use recently patched vulnerabilities in exploit kits and other tools, such as malicious document builders. While access to zero-days has long been a potential factor for measuring threat actor sophistication, FireEye Threat Intelligence suggests that the rise of private security firms and bug bounty programs may have complicated the reliability of this metric by increasingly commodifying zero-days as a resource. ","['Malware Propagation and Deployment', 'Exploit Development']",APT28
" The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. ","['Malware Propagation and Deployment', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Exploit Development']",APT28
" Additional analysis of a previously detected Tsar Team (aka ""APT28"") malware sample revealed the actors successfully exploited CVE-2015-1701 without pairing it with CVE-2015-3043, as was previously observed in every other instance. Additional malware samples were also identified. ",['No ttp provided'],APT28
" We believe tools and exploits dumped by Shadow Brokers actors are legitimate and tied to the Equation Group. The dump includes zero-day exploits for CVE-2016-6367 and CVE-2016-6366 , vulnerabilities in Cisco firewalls. Tools and exploits included in the dump also affect firewalls from the vendors TOPSEC, Fortinet, Cisco, Juniper, Huawei, and WatchGuard. ",['No ttp provided'],APT28
" Since January 2018, 29 groups that targeted or likely targeted the financial service industry have been observed or suspected to be active. We have observed multiple state-nexus actors conducting targeted intrusions against the financial sector in support of espionage goals. We have also observed state-nexus actors continuing to conduct what appear to be financially motivated operations, especially North Korea-nexus groups. Additionally, we track multiple non-state actors that have been observed conducting targeted intrusion operations against entities in the financial services sector. Given the potentially lucrative outcomes of criminal operations against financial entities, we expect this sector will continue to attract a wide range of threat actors, including highly sophisticated groups. ","['Malware Propagation and Deployment', 'POS_ATM Malware_ATM Skimming', 'Ransomware', 'POS/ATM Malware/ATM Skimming', 'Fraud']",APT28
" Over the past few years, cyber attackers have profited financially from compromises of finance sector targets by using data manipulation rather than data theft or extortion. Cyber criminals generated profit by using data manipulation to alter transactions, beneficiaries, security protocols, account balances, and stock values. This article discusses different scenarios in which cyber criminals could profit from data manipulation, current and anticipated future trends in organized cyber crime, and measures to mitigate similar cyber attacks. ",['No ttp provided'],APT28
