	Reports	Technique	Actor	textrank_extractive_summary	textrank_extractive_summary_time_taken
149	 U.S. citizens rely on elections technology, from online voter registration to voting machines. Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation. In this report, FireEye iSIGHT Intelligence analysts examine 10 representative technological threat vectors that could lead to altered election results. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	Research and reports of actual attacks now demonstrate that elections technology is susceptible to intentional manipulation.	0:00:00.004032
150	" FireEye Threat Intelligence assesses with moderate confidence that malware-laden removable storage media, such as USB devices, remains the primary method threat actors use to gain access to air-gapped systems. We assess with low confidence that financially motivated exploitation of air-gapped systems is rare based on limited evidence of financially motivated interest in air-gapped systems, particularly ""cold"" cryptocurrency wallets. FireEye Threat Intelligence suggests that removable devices are introduced to air-gapped environments by insiders, both witting and unwitting, or individuals who obtain unauthorized physical access to a system, such as visitors. Although researchers have demonstrated novel methodologies to exfiltrate data from air-gapped systems, FireEye has not observed these means used in the wild. "	Initial Access: T1195 Supply Chain Compromise	APT28	 FireEye Threat Intelligence assesses with moderate confidence that malware-laden removable storage media, such as USB devices, remains the primary method threat actors use to gain access to air-gapped systems.	0:00:00.009541
151	 The U.S. Department of Justice indicted seven individuals affiliated with the Main Intelligence Directorate of the General Staff of the Russian Armed Forces (GRU) deemed responsible for carrying out a variety of cyber espionage and influence operations. Cyber espionage targeting the Westinghouse Electric Corporation (WEC), an American nuclear power company, circa 2014 attributed to GRU Unit 26165 in the indictment corresponds to FireEye reporting on APT28 (Tsar). We assess that the exposure of historical APT28 activity targeting WEC is unlikely to affect the group's risk calculus in future campaigns directed against energy verticals. 	Initial Access: T1078 Valid Accounts	APT28	We assess that the exposure of historical APT28 activity targeting WEC is unlikely to affect the group's risk calculus in future campaigns directed against energy verticals.	0:00:00.005815
152	 The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. 	Initial Access: T1195 Supply Chain Compromise	APT28	The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems.	0:00:00.010042
153	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1190 Exploit Public-Facing Application	APT28	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022359
154	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	APT28	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022397
155	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1195 Supply Chain Compromise	APT28	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022921
156	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	APT28	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.024337
157	" FireEye Threat Intelligence predicts that high-profile events such as the 2020 Olympics and the upcoming elections in several nations will generate a variety of cyber threat activity, including state-sponsored campaigns, financially motivated activity, and information operations. Operations may include destructive or disruptive attacks. We anticipate that Russian actors will target the Olympics and elections in 2020; we warn that the potential for Iranian actors to conduct disruptive or destructive attacks is elevated; we expect the Belt and Road Initiative (BRI) to continue to drive Chinese state-sponsored activities; North Korean groups will likely continue to target financial institutions globally. We assess with high confidence that financially motivated actors continue to innovate and develop new tactics, techniques, and procedures (TTPs), including the use of ransomware delivered post-compromise. We expect the practice of stealing data prior to deploying ransomware will become more widespread. We assess with moderate confidence that third-party and supply-chain compromises are being leveraged with increasing frequency by both financially motivated and state-sponsored actors. We assess with high confidence that information operations will expand in scope and increase in sophistication, including the use of artificial intelligence (AI)-generated ""deepfake"" images. "	Initial Access: T1195 Supply Chain Compromise	APT28	We assess with moderate confidence that third-party and supply-chain compromises are being leveraged with increasing frequency by both financially motivated and state-sponsored actors.	0:00:00.030090
158	 FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes .	0:00:00.015283
159	 We assess with high confidence that Russian and Chinese espionage actors consistently pose a high-frequency, high-impact threat to U.S. entities. Future targets are likely to include entities connected to the upcoming U.S. election and entities involved in defense, diplomacy, and/or policymaking. Iran and North Korea also pose a potentially destructive threat based on current geopolitical tensions and past activity. Information operations that support Russian or Iranian interests pose a high-frequency, moderate-impact threat. We have also observed campaigns targeting the U.S. that do not appear to support state interests and at least one campaign that may have been orchestrated by a marketing firm in support of a third party that appeared to support state interests. We assess with high confidence that the U.S. will remain a high-frequency target of both targeted and opportunistic financially motivated cyber activity for the foreseeable future. Operations range from low to high impact. We assess with moderate confidence that the perceived lucrative nature of high-impact operations, such as targeted ransomware infections, may cause additional actors to adopt these tactics. We assess with moderate confidence that hacktivist groups will continue choosing U.S. targets for demonstrative cyber activity; however, most activity will not constitute a threat to security-conscious and well-resourced entities. We assess with moderate confidence that an increasing number of countries will demonstrate offensive cyber capabilities in the coming years. Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify. 	Initial Access: T1078 Valid Accounts	APT28	Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify.	0:00:00.063082
160	 The U.S. Government and U.S. companies have been targeted by almost every advanced persistent threat (APT) group that FireEye tracks, but threat levels vary by country nexus. Russia- and North Korea-nexus threat actors pose the highest immediate risk. The financially motivated cyber crime threat to the U.S. is high. Credential theft malware, ransomware, and distributed denial-of-service (DDoS) attacks are prevalent threats, but targeted intrusion operations by sophisticated FIN groups likely cause the greatest financial and reputational impact per incident. Hacktivist activity remains a constant (but low-level) threat to many U.S. entities, with pro-ISIS and pro-extremist groups representing the greatest potential threat. Public-facing threat activity that mimics hacktivism, but is most likely attributable to state actors, represents a significant, growing threat to the U.S. Government, U.S. institutions, and sectors including financial, media and entertainment, and civil society. We have observed this type of activity from Russia-, North Korea-, and Iran-nexus actors. Various geopolitical developments will likely influence risk management for U.S. entities, including changing U.S. foreign policy priorities, the reorganization of various federal agencies, the rollout of the European Union (EU) General Data Protection Regulation (GDPR), and ongoing tensions with Russia. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	Hacktivist activity remains a constant (but low-level) threat to many U.S. entities, with pro-ISIS and pro-extremist groups representing the greatest potential threat.	0:00:00.035119
161	 Domain Name System (DNS) hijacking takes place when a malicious actor interferes with the DNS look-up process in order to redirect a user's activity to an attacker-chosen destination to monitor, intercept, redirect, or interrupt traffic. While this technique is not new, Mandiant Threat Intelligence continues to observe it being used by a wide variety of actors, including what we suspect to be Iranian state-sponsored espionage actors. Malicious actors have used DNS hijacking to facilitate espionage operations, financially motivated credential theft (pharming), ransomware distribution, website defacement, and click fraud. We have also observed local DNS manipulation being used to obfuscate malware command and control (C C) callbacks. We anticipate that DNS manipulation will continue to be used by malicious actors for the foreseeable future, as it offers a relatively easy and cost-effective method for actors to scale their operations widely. 	Initial Access: T1078 Valid Accounts	APT28	Malicious actors have used DNS hijacking to facilitate espionage operations, financially motivated credential theft (pharming), ransomware distribution, website defacement, and click fraud.	0:00:00.014147
162	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. 	Initial Access: T1078 Valid Accounts	APT28	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations.	0:00:00.007450
163	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. 	Initial Access: T1078 Valid Accounts	APT28	 A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations.	0:00:00.005837
164	 Shadow IT typically refers to technology projects and platforms that are managed outside of, and without the knowledge of, the IT department. Shadow IT use, including use of personal devices, public repositories, and personal email, cloud storage, and social media accounts, can both introduce vectors for malicious activity to enter the enterprise environment and result in corporate data and assets leaving systems and networks protected and monitored by IT and IT security staff. In disruptive work circumstances, such as an urgent meeting or trip, or an unexpected mass shift to remote work, users may be more likely to resort to shadow IT solutions, particularly if approved and monitored IT solutions are inaccessible or inconvenient. Implementing security policies or controls that are more restrictive can provide users additional incentives to go outside of IT managed assets. An IT group that is reasonable and responsive to user requests and concerns is much more likely to have users bring issues or ideas forward to find a collaborative solution that is both secure and fulfills employee use cases. 	Initial Access: T1195 Supply Chain Compromise	APT28	Shadow IT use, including use of personal devices, public repositories, and personal email, cloud storage, and social media accounts, can both introduce vectors for malicious activity to enter the enterprise environment and result in corporate data and assets leaving systems and networks protected and monitored by IT and IT security staff.	0:00:00.016214
165	 Mandiant Threat Intelligence suggests that the expedient implementation of emergency preparedness measures generates compounding benefits for organizations beyond the immediate goal of improving defenses against an imminent threat. In early 2020, Iranian general Qasem Soleimani's death in a U.S. airstrike led Mandiant to advise organizations to prepare for potential retaliatory Iranian cyber threat activity. Specifically, we suggested prioritizing detection of the initial stages of intrusions and implementing mitigations against commonly observed tactics, techniques, and procedures (TTPs) Iranian espionage actors employ. Although we have not observed a dramatic increase in the frequency of Iranian operations or significant destructive operations targeting the U.S. or its allies as of July 2021, we suggest that organizations that implemented recommended countermeasures are not only better prepared to defend against potential Iranian activity, but they are also better prepared to counter threat activity from numerous additional threat actors who employ the same or similar TTPs. We expect that these TTPs will remain popular among diverse threat actors for at least the near to mid-term due to their proven effectiveness. 	Initial Access: T1078 Valid Accounts	APT28	Although we have not observed a dramatic increase in the frequency of Iranian operations or significant destructive operations targeting the U.S. or its allies as of July 2021, we suggest that organizations that implemented recommended countermeasures are not only better prepared to defend against potential Iranian activity, but they are also better prepared to counter threat activity from numerous additional threat actors who employ the same or similar TTPs.	0:00:00.017845
166	 State-sponsored cyber espionage as well as disruptive and destructive attacks continue to pose the greatest threats to the aerospace and defense industry. China-, North Korea-, Iran-, and Russia-nexus actors have all recently targeted the industry with extensive reconnaissance that could facilitate espionage campaigns as well as destructive and disruptive attacks. Aerospace and defense sector entities should be sensitive to the threat of information operations from nations adversarial to their business partners, as such activity can pose a reputational risk. Financially motivated cyber threat activity represents an ongoing moderate threat to the aerospace and defense industry. The sector is impacted by cyber crime campaigns that commonly target commercial entities across verticals, although the paucity of compromised data or domain access being offered on underground forums indicates that the sector is less frequently compromised than others. Hacktivism represents a low threat to the aerospace and defense industry. Although we infrequently observe hacktivist activity targeting the aerospace and defense sector, an organization's perceived involvement in controversies surrounding ethnic, nationalist, environmental, or health concerns may prompt targeting by aggrieved individuals or collectives. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	Financially motivated cyber threat activity represents an ongoing moderate threat to the aerospace and defense industry.	0:00:00.028758
167	 Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. 	Initial Access: T1195 Supply Chain Compromise	APT28	 Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors.	0:00:00.046604
168	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore.	0:00:00.015369
169	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. 	Initial Access: T1078 Valid Accounts	APT28	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore.	0:00:00.015154
170	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. 	Initial Access: T1195 Supply Chain Compromise	APT28	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore.	0:00:00.015048
171	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. 	Initial Access: T1078 Valid Accounts	APT28	 FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore.	0:00:00.015049
172	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry.	0:00:00.017744
173	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. 	Initial Access: T1195 Supply Chain Compromise	APT28	 Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry.	0:00:00.017453
174	 The cyber espionage threat to Japan is very high. The resurgence of APT10 and its high operational tempo against Japanese targets constitutes a particularly acute threat. Japanese entities face a high threat of cyber crime. Ongoing and serious risks include credential theft malware, ransomware, and Chinese criminal activity. Hacktivist actors pose a low threat to Japanese enterprise networks. Distributed denial-of-service (DDoS) attacks are commonly used to promote political messages. Japan's growing geopolitical and military activeness, especially as a result of tensions in the South China Sea and the Korean Peninsula, will likely continue to drive cyber threat activity for the next several years. The run-up to Japan's hosting of the Summer Olympics in 2020 will be a strategic challenge for the country as it seeks to strengthen cyber security in its public and private sectors. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	The resurgence of APT10 and its high operational tempo against Japanese targets constitutes a particularly acute threat.	0:00:00.022511
175	 Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. 	Initial Access: T1195 Supply Chain Compromise	APT28	The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks.	0:00:00.018938
176	 Pakistani espionage activity is often associated with targeting of India due to the history of conflicts between the regional rivals, but the activity has also been observed supporting other Pakistani military and diplomatic interests globally. Cyber crime activity originating in Pakistan likely poses a low to moderate threat, though organizations based or operating in India potentially face a greater threat due to the historical and ongoing conflicts between the countries. Organizations and individuals in Pakistan are targets for cyber criminals and likely face a moderate threat from this type of activity in both opportunistic campaigns and those targeting specific organizations or industries. Hacktivist actors from Pakistan have primarily been motivated by pro-Islam and anti-India ideologies and typically conduct website defacements and other low-level activity. Similarly, pro-India actors are one of the most common types of hacktivists targeting Pakistani organizations and are generally limited to website defacements. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	Cyber crime activity originating in Pakistan likely poses a low to moderate threat, though organizations based or operating in India potentially face a greater threat due to the historical and ongoing conflicts between the countries.	0:00:00.014877
177	 FireEye Intelligence assesses with high confidence that the nations of the Cooperation Council for the Arab States of the Gulf, commonly known as the Gulf Cooperation Council or GCC, are high-value targets for cyber espionage operations seeking information for political, strategic, or economic advantage and will almost certainly continue to be targeted for the foreseeable future, particularly by Iran-linked groups, but also to a lesser extent by Russian and Chinese actors. At least some GCC member states have been reported to have some degree of offensive capabilities. Iran-linked information operations have been observed during the course of 2018, referencing a variety of countries and organizations, including some GCC member states. We suspect that at least some GCC member states possess or are developing information operations capabilities, at least in part due to the ongoing diplomatic tensions following the 2017 Qatar News Agency compromise. We assess with high confidence that financially motivated threat activity is a high-volume threat to organizations and individuals in GCC countries, as it is in other developed countries. We have observed a variety of cyber crime activity affecting organizations and individuals, ranging from widely distributed malware families affecting organizations in the GCC to actors selling access to systems at companies operating in the region. Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future. These campaigns are likely to be of low impact in most cases, with website defacements, distributed denial-of-service (DDoS) attacks, and low-level leaks of sensitive or personal information. 	Initial Access: T1190 Exploit Public-Facing Application	APT28	Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future.	0:00:00.044378
178	 FireEye Intelligence assesses with high confidence that the nations of the Cooperation Council for the Arab States of the Gulf, commonly known as the Gulf Cooperation Council or GCC, are high-value targets for cyber espionage operations seeking information for political, strategic, or economic advantage and will almost certainly continue to be targeted for the foreseeable future, particularly by Iran-linked groups, but also to a lesser extent by Russian and Chinese actors. At least some GCC member states have been reported to have some degree of offensive capabilities. Iran-linked information operations have been observed during the course of 2018, referencing a variety of countries and organizations, including some GCC member states. We suspect that at least some GCC member states possess or are developing information operations capabilities, at least in part due to the ongoing diplomatic tensions following the 2017 Qatar News Agency compromise. We assess with high confidence that financially motivated threat activity is a high-volume threat to organizations and individuals in GCC countries, as it is in other developed countries. We have observed a variety of cyber crime activity affecting organizations and individuals, ranging from widely distributed malware families affecting organizations in the GCC to actors selling access to systems at companies operating in the region. Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future. These campaigns are likely to be of low impact in most cases, with website defacements, distributed denial-of-service (DDoS) attacks, and low-level leaks of sensitive or personal information. 	Initial Access: T1078 Valid Accounts	APT28	Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future.	0:00:00.044357
179	 The United Kingdom (UK) is a common target for espionage actors linked to a variety of countries. The types of organizations targeted are similar to other countries with a comparable level of international engagement and economic, military, and technological development. Given its position as a wealthy and technologically advanced nation, the UK is heavily affected by cyber crime campaigns, both those targeting the UK specifically and more broadly targeted campaigns affecting many other countries. The UK has been a target and source of hacktivist activity since at least 2011 and the growth and high-profile attacks by Anonymous-affiliated actors. While high-profile hacktivism attacks appear to have decreased in prevalence in recent years, the UK will likely continue to be a popular target for hacktivists with anti-UK, anti-establishment, and/or anti-Western motivations. While we have not confidently linked any espionage groups to the UK, the UK Government has publicly admitted to developing and maintaining an offensive cyber capability. 	Initial Access: T1078 Valid Accounts	APT28	Given its position as a wealthy and technologically advanced nation, the UK is heavily affected by cyber crime campaigns, both those targeting the UK specifically and more broadly targeted campaigns affecting many other countries.	0:00:00.018961
180	 Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. 	Initial Access: T1195 Supply Chain Compromise	APT28	 Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide.	0:00:00.023048
181	 Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. 	Initial Access: T1078 Valid Accounts	APT28	Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S.	0:00:00.015664
