Technique,Example
Initial Access: T1078 Valid Accounts," Domain Name System (DNS) hijacking takes place when a malicious actor interferes with the DNS look-up process in order to redirect a user's activity to an attacker-chosen destination to monitor, intercept, redirect, or interrupt traffic. While this technique is not new, Mandiant Threat Intelligence continues to observe it being used by a wide variety of actors, including what we suspect to be Iranian state-sponsored espionage actors. Malicious actors have used DNS hijacking to facilitate espionage operations, financially motivated credential theft (pharming), ransomware distribution, website defacement, and click fraud. We have also observed local DNS manipulation being used to obfuscate malware command and control (C C) callbacks. We anticipate that DNS manipulation will continue to be used by malicious actors for the foreseeable future, as it offers a relatively easy and cost-effective method for actors to scale their operations widely. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1195 Supply Chain Compromise," Shadow IT typically refers to technology projects and platforms that are managed outside of, and without the knowledge of, the IT department. Shadow IT use, including use of personal devices, public repositories, and personal email, cloud storage, and social media accounts, can both introduce vectors for malicious activity to enter the enterprise environment and result in corporate data and assets leaving systems and networks protected and monitored by IT and IT security staff. In disruptive work circumstances, such as an urgent meeting or trip, or an unexpected mass shift to remote work, users may be more likely to resort to shadow IT solutions, particularly if approved and monitored IT solutions are inaccessible or inconvenient. Implementing security policies or controls that are more restrictive can provide users additional incentives to go outside of IT managed assets. An IT group that is reasonable and responsive to user requests and concerns is much more likely to have users bring issues or ideas forward to find a collaborative solution that is both secure and fulfills employee use cases. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence suggests that the expedient implementation of emergency preparedness measures generates compounding benefits for organizations beyond the immediate goal of improving defenses against an imminent threat. In early 2020, Iranian general Qasem Soleimani's death in a U.S. airstrike led Mandiant to advise organizations to prepare for potential retaliatory Iranian cyber threat activity. Specifically, we suggested prioritizing detection of the initial stages of intrusions and implementing mitigations against commonly observed tactics, techniques, and procedures (TTPs) Iranian espionage actors employ. Although we have not observed a dramatic increase in the frequency of Iranian operations or significant destructive operations targeting the U.S. or its allies as of July 2021, we suggest that organizations that implemented recommended countermeasures are not only better prepared to defend against potential Iranian activity, but they are also better prepared to counter threat activity from numerous additional threat actors who employ the same or similar TTPs. We expect that these TTPs will remain popular among diverse threat actors for at least the near to mid-term due to their proven effectiveness. "
Initial Access: T1190 Exploit Public-Facing Application," State-sponsored cyber espionage as well as disruptive and destructive attacks continue to pose the greatest threats to the aerospace and defense industry. China-, North Korea-, Iran-, and Russia-nexus actors have all recently targeted the industry with extensive reconnaissance that could facilitate espionage campaigns as well as destructive and disruptive attacks. Aerospace and defense sector entities should be sensitive to the threat of information operations from nations adversarial to their business partners, as such activity can pose a reputational risk. Financially motivated cyber threat activity represents an ongoing moderate threat to the aerospace and defense industry. The sector is impacted by cyber crime campaigns that commonly target commercial entities across verticals, although the paucity of compromised data or domain access being offered on underground forums indicates that the sector is less frequently compromised than others. Hacktivism represents a low threat to the aerospace and defense industry. Although we infrequently observe hacktivist activity targeting the aerospace and defense sector, an organization's perceived involvement in controversies surrounding ethnic, nationalist, environmental, or health concerns may prompt targeting by aggrieved individuals or collectives. "
Initial Access: T1195 Supply Chain Compromise," Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
Initial Access: T1078 Valid Accounts," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
Initial Access: T1078 Valid Accounts," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1190 Exploit Public-Facing Application," The cyber espionage threat to Japan is very high. The resurgence of APT10 and its high operational tempo against Japanese targets constitutes a particularly acute threat. Japanese entities face a high threat of cyber crime. Ongoing and serious risks include credential theft malware, ransomware, and Chinese criminal activity. Hacktivist actors pose a low threat to Japanese enterprise networks. Distributed denial-of-service (DDoS) attacks are commonly used to promote political messages. Japan's growing geopolitical and military activeness, especially as a result of tensions in the South China Sea and the Korean Peninsula, will likely continue to drive cyber threat activity for the next several years. The run-up to Japan's hosting of the Summer Olympics in 2020 will be a strategic challenge for the country as it seeks to strengthen cyber security in its public and private sectors. "
Initial Access: T1195 Supply Chain Compromise," Cyber crime is responsible for most attacks directed against hospitality companies. Cyber criminals use several methods to capitalize on a successful attack, theft of payment and sensitive data, and extortive attacks. The cyber espionage threat to the hospitality industry is dependent on the company's location and its political and social environment. Nation-state actors increasingly target the sector to collect information on hotel guests of interest, gather corporate information, and conduct destructive attacks. Hacktivism poses a minor threat to organizations in the hospitality industry. Targeting of entities in the hospitality sector primarily occurs opportunistically or as part of broader campaigns against multiple targets. The adaptation of internet of things (IoT) technology broadens the concerns about new cyber security risks. "
Initial Access: T1190 Exploit Public-Facing Application," Pakistani espionage activity is often associated with targeting of India due to the history of conflicts between the regional rivals, but the activity has also been observed supporting other Pakistani military and diplomatic interests globally. Cyber crime activity originating in Pakistan likely poses a low to moderate threat, though organizations based or operating in India potentially face a greater threat due to the historical and ongoing conflicts between the countries. Organizations and individuals in Pakistan are targets for cyber criminals and likely face a moderate threat from this type of activity in both opportunistic campaigns and those targeting specific organizations or industries. Hacktivist actors from Pakistan have primarily been motivated by pro-Islam and anti-India ideologies and typically conduct website defacements and other low-level activity. Similarly, pro-India actors are one of the most common types of hacktivists targeting Pakistani organizations and are generally limited to website defacements. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that the nations of the Cooperation Council for the Arab States of the Gulf, commonly known as the Gulf Cooperation Council or GCC, are high-value targets for cyber espionage operations seeking information for political, strategic, or economic advantage and will almost certainly continue to be targeted for the foreseeable future, particularly by Iran-linked groups, but also to a lesser extent by Russian and Chinese actors. At least some GCC member states have been reported to have some degree of offensive capabilities. Iran-linked information operations have been observed during the course of 2018, referencing a variety of countries and organizations, including some GCC member states. We suspect that at least some GCC member states possess or are developing information operations capabilities, at least in part due to the ongoing diplomatic tensions following the 2017 Qatar News Agency compromise. We assess with high confidence that financially motivated threat activity is a high-volume threat to organizations and individuals in GCC countries, as it is in other developed countries. We have observed a variety of cyber crime activity affecting organizations and individuals, ranging from widely distributed malware families affecting organizations in the GCC to actors selling access to systems at companies operating in the region. Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future. These campaigns are likely to be of low impact in most cases, with website defacements, distributed denial-of-service (DDoS) attacks, and low-level leaks of sensitive or personal information. "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the nations of the Cooperation Council for the Arab States of the Gulf, commonly known as the Gulf Cooperation Council or GCC, are high-value targets for cyber espionage operations seeking information for political, strategic, or economic advantage and will almost certainly continue to be targeted for the foreseeable future, particularly by Iran-linked groups, but also to a lesser extent by Russian and Chinese actors. At least some GCC member states have been reported to have some degree of offensive capabilities. Iran-linked information operations have been observed during the course of 2018, referencing a variety of countries and organizations, including some GCC member states. We suspect that at least some GCC member states possess or are developing information operations capabilities, at least in part due to the ongoing diplomatic tensions following the 2017 Qatar News Agency compromise. We assess with high confidence that financially motivated threat activity is a high-volume threat to organizations and individuals in GCC countries, as it is in other developed countries. We have observed a variety of cyber crime activity affecting organizations and individuals, ranging from widely distributed malware families affecting organizations in the GCC to actors selling access to systems at companies operating in the region. Hacktivist campaigns and groups targeting both public and private entities operating in the GCC have been relatively common in the past, and we assess with moderate confidence that they will continue to be for the foreseeable future. These campaigns are likely to be of low impact in most cases, with website defacements, distributed denial-of-service (DDoS) attacks, and low-level leaks of sensitive or personal information. "
Initial Access: T1078 Valid Accounts," The United Kingdom (UK) is a common target for espionage actors linked to a variety of countries. The types of organizations targeted are similar to other countries with a comparable level of international engagement and economic, military, and technological development. Given its position as a wealthy and technologically advanced nation, the UK is heavily affected by cyber crime campaigns, both those targeting the UK specifically and more broadly targeted campaigns affecting many other countries. The UK has been a target and source of hacktivist activity since at least 2011 and the growth and high-profile attacks by Anonymous-affiliated actors. While high-profile hacktivism attacks appear to have decreased in prevalence in recent years, the UK will likely continue to be a popular target for hacktivists with anti-UK, anti-establishment, and/or anti-Western motivations. While we have not confidently linked any espionage groups to the UK, the UK Government has publicly admitted to developing and maintaining an offensive cyber capability. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that Russian state-sponsored cyber espionage continues to present a very common and serious threat to many industries, but particularly to governments worldwide. Russian cyber espionage operations overwhelmingly targeted the United States. We assess with high confidence that Russian-speaking cyber criminals will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. A growing number of extremely high-profile ransomware infections has begun to garner an increasing focus from national and international law enforcement organizations, as the disruption from these infections continues to rise. Pro-Russian information operations continue to target primarily NATO states, with a particular focus on nations in Russia's Near Abroad and the United States. These campaigns pose a moderate intensity and magnitude threat to targeted societies and governments. We observed few instances of genuine hacktivism based in Russia. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that financially motivated cyber threat activity poses a frequent and high-impact threat to the healthcare sector due to the potential for the compromise of large volumes of highly sensitive personally identifiable information (PII), personal health information (PHI), financial data, and disruptive incidents, including ransomware infections. Mandiant Threat Intelligence assesses with moderate confidence that cyber espionage activity poses an occasional threat to the healthcare sector, with past examples having a noticeable impact through compromise of sensitive data; however, future attacks could cause significant to catastrophic effects should actors undertake destructive or high-impact disruptive attacks. Mandiant Threat Intelligence assesses with high confidence that information operations pose an occasional threat to the healthcare sector and can have a limited to noticeable impact on healthcare operations, particularly through influence of public opinion regarding efficacy and trustworthiness of healthcare providers and methods. Mandiant Threat Intelligence assesses with moderate confidence that hacktivist campaigns are an uncommon threat to most organizations in the healthcare sector and may only have a negligible or minor impact on targeted organizations. We speculate that the lack of information technology (IT) security best practices in internet-connected medical devices, Internet of Things (IoT) devices, and building management systems used by healthcare providers increases the risk profile due to the potential for significant negative consequences of a compromise. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. "
Initial Access: T1190 Exploit Public-Facing Application," Cyber espionage operations from Russia are highly active and effective, conducting aggressive campaigns against a wide variety of targets in line with Russian strategic and tactical interests. Russian information operations are actively used to influence foreign elections, political processes, and opinions regarding various issues. Financially motivated cyber crime operations conducted by Russian actors remain a significant threat to many organizations, particularly in Western countries. This activity has affected organizations ranging in size from small, local financial organizations to large, multinational corporations. Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government. "
Initial Access: T1078 Valid Accounts," Cyber espionage operations from Russia are highly active and effective, conducting aggressive campaigns against a wide variety of targets in line with Russian strategic and tactical interests. Russian information operations are actively used to influence foreign elections, political processes, and opinions regarding various issues. Financially motivated cyber crime operations conducted by Russian actors remain a significant threat to many organizations, particularly in Western countries. This activity has affected organizations ranging in size from small, local financial organizations to large, multinational corporations. Hacktivism conducted by Russian actors is typically politically motivated; Russian Government offices, officials, and media outlets are often targeted by both foreign and domestic hacktivists in response to perceived physical or political aggression by the Russian Government. "
Initial Access: T1078 Valid Accounts," FireEye iSIGHT Intelligence has uncovered domains impersonating international sporting organizations. The registration of these domains was consistent with the pattern previously used by APT28, and it could be used for credential theft or other malicious purposes. APT28 likely continues to target international sporting organizations following Russia's exclusion from the 2018 Winter Olympics. "
Initial Access: T1078 Valid Accounts," APT28 (Tsar Team) has targeted multiple hospitality companies with spear phishes containing documents that drop GAMEFISH malware. In a at least one case, APT28 sought to escalate its privileges using two notable methods, Responder, a NetBIOS Name Service (NBT-NS) poisoning tool, and the ETERNALBLUE exploit. In a separate instance, APT28 compromised a victim via credentials likely sniffed from a hotel's guest Wi-Fi network. Targeted hotels are primarily in Europe, with one additional target in the Middle East. "
Initial Access: T1078 Valid Accounts," This report compiles recent cyber espionage activity uncovered by FireEye iSIGHT Intelligence. The activity below is recent, but it does not significantly alter our assessment of the threat landscape. Indicators of compromise (IOCs) are provided with minimal context to deliver them quickly to customers. This report includes activity from actors based in Russia and China. "
Initial Access: T1078 Valid Accounts," Russia-nexus APT28 (Tsar) has deployed a number of new tools alongside older capabilities throughout 2018. It continues to operate at a high volume against a broad target set, though some slight shifts in targeting focus have been observed. Public scrutiny and indictments do not appear to have affected APT28's operational tempo, suggesting the group's operations will continue for the foreseeable future. "
Initial Access: T1078 Valid Accounts," FireEye iSIGHT Intelligence has uncovered multiple military lure documents that were weaponized with a new macro and retrieved previously unseen PowerShell and .NET malware. Infrastructure patterns and targeting indicates that this activity is likely ATP28 (Tsar Team). Newly uncovered GAMEFISH samples, likely targeting Slovakia, demonstrate APT28's continued interest in European security. "
Initial Access: T1078 Valid Accounts," This is a consolidated report on the tactics, techniques, and procedures (TTPs) used by APT28 (Tsar) across the full intrusion lifecycle. This report is based on extensive experience with this actor, combining insight from Mandiant Incident Response, FireEye-as-a-Service (FaaS), Mandiant Threat Intelligence, and FireEye devices. Tips for detecting and preventing APT28 intrusions are included when available. "
Initial Access: T1078 Valid Accounts," Threat Activity Reports relay historical and recent activities observed within the cyber threat environment, the relevance of which has become elevated by current circumstances. Activities continue to be monitored and may result in additional alerts or reports if anything significant occurs or the issue warrants further analysis. "
Initial Access: T1078 Valid Accounts," APT28 (Tsar) leveraged lure messages themed with a subsurface warfare conference to various public agencies in Austria, Montenegro, and Norway. Technical analysis revealed that APT28 implemented a new framework to deliver the CVE-2018-4878 exploit and signature GAMEFISH malware. The targeting is consistent with previous APT28 campaigns and aligns with Russian national interests on national defense and NATO/European integration. "
Initial Access: T1078 Valid Accounts, Mandiant Threat Intelligence uncovered additional UNC1151 domain registration activity the group and other Russia-nexus threat actors may use for malware command and control (C C) or credential harvesting efforts. Some of the domain names appear to be intended to mimic internet streaming services and tourism sites. 
Initial Access: T1078 Valid Accounts," MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) is a knowledge base and model for cyber adversary behavior. The ATT CK framework is divided into 11 tactics: initial access, execution, persistence, privilege escalation, defense evasion, credential access, discover, lateral movement, collection, exfiltration, and command and control (C C). Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK categories FireEye has seen used by APT28 across FireEye Devices, Mandiant Incident Response, Managed Defense, and research. "
Initial Access: T1078 Valid Accounts,"Targeted social engineering e-mails containing malware payloads or links to hostile exploit and malware payloads have increasingly emerged as a key vector for the compromise of national and critical infrastructure networks. These lures increasingly incorporate discussions of key topics of interest to specific victim sets, frequently conveyed using forged originator information intended to enhance lure effectiveness."
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1195 Supply Chain Compromise," The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. "
Initial Access: T1195 Supply Chain Compromise,No report found.
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1078 Valid Accounts, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1195 Supply Chain Compromise, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application," Key issues in the cyber crime threat landscape between April and June 2021 included account takeovers, network compromises, ransomware operations, and operations including the use of mobile malware. Top malware detections between April and June 2021 included FORMBOOK, LOKIBOT, AGENTTESLA, URSNIF, TRICKBOT, QAKBOT, NANOCORE, REMCOS, MOUSEISLAND, and NETWIRE. Throughout Q2 2021, Mandiant Threat Intelligence observed threat activity associated with UNC1543, UNC1878, UNC2053, and UNC2420, among others. "
Initial Access: T1190 Exploit Public-Facing Application, This report is designed to provide situational awareness of current and emerging cyber crime threats impacting the financial sector. 
Initial Access: T1190 Exploit Public-Facing Application," As of February 2018, FireEye iSIGHT Intelligence tracked 39 threat groups that have targeted organizations from the construction and engineering industries on at least one occasion and 80 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target construction and engineering organizations. Some possible overlaps might exist with other industries because of subcategories related to manufacturing of industrial equipment, contractors, chemical equipment, and mining. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1190 Exploit Public-Facing Application," As of January 2018, FireEye iSIGHT Intelligence tracks 35 threat groups that have targeted organizations from the transportation sector on at least one occasion, and 45 clusters of activity that are not currently attributed to any group Most of these groups have performed espionage activities to retrieve information about technology innovation related to aircrafts and automobiles. While financial or economic benefits are common incentives for targeting the transportation sector, military and political interests are also a driving factor. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1195 Supply Chain Compromise," As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target telecommunications organizations. However, it is sometimes difficult to determine whether an actor only leveraged telecommunications infrastructure as a channel to indirectly target other sectors. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye iSIGHT Intelligence defines Light Rail Transit (LRT) as a subcomponent of the Rail Transportation industry, focused on transporting passengers within urban or suburban areas by a vehicle on rail lines, including light rail trains, trams, and streetcars. LRT systems face potential threats from state-sponsored, financially motivated, hacktivist and terrorist-sympathetic adversaries. Insider threats are also relevant for rail transportation. Potential adverse outcomes of cyber threat activity include destruction of infrastructure, disruption of operations, economic loss, and reputational damage to the LRT system, and by extension, associated municipal or other authorities. The complex dynamics and interdependencies between different layers of rail transportation systems provide attackers with opportunities to perform attacks on a variety of different attack surfaces. The Industrial Internet of Things (IIoT) and the supply chain are among the most critical attack vectors. Third-party or external contractors in the supply chain represent risks to the integrity of the LRT system due to shared access to sensitive information and/or equipment required for the system's operation. However, proper precautions can mitigate the risks. "
Initial Access: T1190 Exploit Public-Facing Application," Russia-, North Korea-, and Iran-nexus threat actors have demonstrated a willingness to conduct operations against the utilities industry in the last several years. We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry. Despite occasional hacktivist or disgruntled insider attacks, the current threat is low. Utilities, especially those invol v ed in electricity generation or transmission, should include geopolitical environment analyses when determining security strategies and investment priorities. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that cyber espionage actors pose a serious threat to law firms. Cyber espionage actors, particularly those with a nexus to China, are likely to target law firms to exploit trusted client relationships and gain access to intellectual property or proprietary information to benefit a government sponsor. We assess with high confidence that financially motivated cyber crime poses an ongoing and serious threat to law firms. Financially motivated cyber criminals target legal firms to gain access to client data such as financial and account information, proprietary information, or other sensitive business data. FireEye Intelligence assesses with moderate confidence that hacktivists constitute a low threat to law firms. Hacktivists may target law firms to call attention to a cause, but they typically possess limited technical capabilities. Cyber threats to legal services come in various forms including phishing, data breaches, ransomware, supply chain compromise, and insider threats. Moreover, lack of security training and usage of obsolete technology and mobile devices increase the security risk to the law firms. "
